title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear
Archduke_Hubert_Salvator_of_Austria,Archduke and Prince Hubert Salvator of Austria; Prince Hubert Salvator of Hungary Bohemia and Tuscany,Austria,Burg Lichtenegg,1,1894,1971
Archduke_Johann_Nepomuk_of_Austria,,Austria,Austria,,1805,1809
Archduke_Johann_Salvator_of_Austria,Archduke,Cape Horn,Grand Duchy of Tuscany,,1852,1911
Archduke_Joseph_Francis_of_Austria,,Carcavelos,Austrian Empire,1,1895,1957
Archduke_Joseph_Franz_of_Austria,,Hofburg Palace,Hofburg Palace,,1799,1807
Archduke_Karl_Albrecht_of_Austria,,Sweden,Pula,,1888,1951
Archduke_Karl_Ferdinand_of_Austria,,Židlochovice,Austrian Empire,1,1818,1874
Archduke_Karl_Salvator_of_Austria,Archduke and Prince Archduke Karl Salvator of Austria; Prince Charles Salvator of Hungary Croatia and Bohemia; Prince of Tuscany,Vienna,Grand Duchy of Tuscany,1,1839,1892
Archduke_Karl_of_Austria-Este,Prince Archbishop of Esztergom,Tata Hungary,Duchy of Milan,,1785,1809
Archduke_Leo_Karl_of_Austria,,Bestwina,Pula,,1893,1939
Archduke_Leopold_Ferdinand_of_Austria,,Berlin,Salzburg,,1868,1935
Archduke_Leopold_Ludwig_of_Austria,,Hornstein Austria,Kingdom of Lombardy–Venetia,,1823,1898
Archduke_Leopold_Salvator_of_Austria,Prince of Tuscany,Vienna,Brandýs nad Labem-Stará Boleslav,1,1863,1931
Archduke_Ludwig_Viktor_of_Austria,,Schloss Klessheim,Hofburg Palace,,1842,1919
Archduke_Maximilian_Eugen_of_Austria,Archduke of Austria,French Fourth Republic,Vienna,1,1895,1952
Archduke_Peter_Ferdinand_of_Austria,,Austria,Salzburg,1,1874,1948
Archduke_Rainer_of_Austria_(1895–1930),Prince of Tuscany,,Zagreb,,1895,1930
Archduke_Rudolf_of_Austria_(1919–2010),"['Archduke and Prince Rudolf of Austria', 'Prince Rudolf of Hungary Croatia and Bohemia']",Brussels,Prangins,,1919,2010
Archduke_Stefan_of_Austria,Prince of Tuscany Archduke and Imperial Prince of Austria Royal Prince of Hungary and Bohemia,United States,First Austrian Republic,,1932,1998
Archduke_Wilhelm_Franz_of_Austria,,,,,1827,1894
Archduke_Wilhelm_of_Austria,,Kiev,Lošinj,,1895,1948
"Archibald_Acheson,_1st_Viscount_Gosford",,,,,1718,1790
Archibald_Birkmyre,,,,,1875,1935
Archil_of_Imereti,,Moscow,,,1647,1713
Ari'imate,King of Huahine,Huahine,Huahine,1,1824,1874
Ari_Singh_II,MaharanaofMewar,,,,1724,1773
Armande_de_La_Tour_d'Auvergne,Princess of Epinoy,,,1,1697,1717
Armgard_von_Cramm,Princess of Lippe-Biesterfeld,Diepenheim,Bad Driburg,1,1883,1971
"Armin,_Prince_of_Lippe",Prince of Lippe,Detmold,Detmold,,1924,2015
Arthur_Cory-Wright,,,,,1869,1951
"Arthur_Maxwell,_11th_Baron_Farnham",,,,,1879,1957
August_Cayzer,,,,,1876,1943
August_of_Saxony,,Naumburg,Dresden,,1589,1615
Augusta_Victoria_of_Hohenzollern,Countess Robert Douglas,Eigeltingen,Potsdam,1,1890,1966
Auguste_Louise_of_Württemberg-Oels,,Silesia,Bierutów,1,1698,1739
Auguste_de_Beauharnais,Duke of Santa Cruz,Lisbon,Milan,1,1810,1835
Auguste_of_Anhalt-Dessau,Princess of Schwarzburg-Rudolstadt,Rudolstadt,Dessau,1,1793,1854
Auguste_of_Schleswig-Holstein-Sonderburg-Glücksburg,Duchess consort of Schleswig-Holstein-Sonderburg-Augustenburg,Augustenborg Denmark,Glücksburg,1,1633,1701
"Augustus,_Duke_of_Saxe-Gotha-Altenburg",Duke of Saxe-Gotha-Altenburg,Gotha,Gotha,2,1772,1822
"Augustus,_Duke_of_Saxe-Lauenburg",,Lauenburg (Elbe),Ratzeburg,,1577,1656
"Augustus,_Grand_Duke_of_Oldenburg",,Oldenburg (Oldenburg),Rastede,3,1783,1853
"Augustus_George,_Margrave_of_Baden-Baden",Margrave of Baden-Baden,Rastatt,Rastatt,1,1706,1771
"Aveline_de_Forz,_Countess_of_Aumale",,,Holderness,1,1259,1274
Avinita,,,,,469,529
Ayn-al-Hayat_Rifaat,,France,Egypt,1,1858,1910
Ayşe_Hafsa_Sultan,,Constantinople,Havsa,1,1479,1534
Ayşe_Hatun_(wife_of_Osman_II),,Istanbul,Istanbul,1,1607,1640
Ayşe_Seniyeperver_Sultan,,Istanbul,Bulgaria,1,1761,1828
Azlan_Shah_of_Perak,Sultan of Perak,Malaysia,Batu Gajah,1,1928,2014
Abd_al-Aziz_ibn_Mutib,Emir of Jabal Shammar,Battle of Rawdat Muhanna,Ha'il,,1870,1906
Abdelaziz_bin_Ahmed_Al_Thani,Minister of Health,Saudi Arabia,Doha,,1946,2008
Abdul_Hamid_II,"['Caliph of Islam', ""Amir al-Mu'minin"", 'Sultan of the Ottoman Empire', 'Custodian of the Two Holy Mosques']",Beylerbeyi Palace,Istanbul,9,1842,1918
Abdul_Majeed_bin_Abdulaziz_Al_Saud,,Seattle,Riyadh,,1942,2007
Abdul_Muhsin_bin_Abdulaziz_Al_Saud,,Riyadh,Riyadh,,1925,1985
Abdul_Qadir_Najmuddin,,,,,1814,1885
Abdul_Rahman_bin_Saud_Al_Saud,,Riyadh,Riyadh,,1946,2004
Abdullah_Al-Salim_Al-Sabah,,,,,1895,1965
Abdullah_Badruddin,,,,,1846,1915
Abdullah_of_Saudi_Arabia,"['Custodian of the Two Holy Mosques', 'King of Saudi Arabia']",Saudi Arabia,Sultanate of Nejd,,1924,2015
