title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear,birthCountry
Adeyinka_Oyekan,Oba of Lagos,,,,1911,2003,
Adolf_IV_of_Holstein,,,,,1205,1261,
"Adolf_William,_Duke_of_Saxe-Eisenach",,,,,1632,1668,
"Adolph,_Landgrave_of_Hesse-Philippsthal-Barchfeld",Landgrave of Hesse-Philippsthal-Barchfeld,,,,1743,1803,
"Adolphus_Frederick_III,_Duke_of_Mecklenburg-Strelitz",Duke of Mecklenburg-Strelitz,,,,1686,1752,
"Adolphus_Frederick_VI,_Grand_Duke_of_Mecklenburg-Strelitz",,,,,1882,1918,
"Adèle_of_France,_Countess_of_Flanders",Countess of Flanders,,,,1009,1079,
"Afonso,_Prince_Imperial_of_Brazil",Prince Imperial of Brazil,,,,1845,1847,
"Afonso,_Prince_of_Portugal_(1526)",Prince of Portugal,,,,1526,1526,
Agnes_Haakonsdatter,,,,,1290,1319,
"Agnes_II,_Abbess_of_Quedlinburg",,,,,1139,1203,
"Agnes_of_Aquitaine,_Countess_of_Savoy",,,,,1052,1089,
Agnes_of_Austria_(1154–1182),,,,,1154,1182,
Agnes_of_Austria_(1281–1364),,,,,1281,1364,
Agnes_of_Brandenburg,,,,,1257,1304,
Agnes_of_Dampierre,Lady of Bourbon,,,,1237,1288,
Agnes_of_Hesse,"['Duchess of Saxony', 'Electress of Saxony']",,,,1527,1555,
Agustín_Jerónimo_de_Iturbide_y_Huarte,Prince Imperial of Mexico,,,,1807,1866,
Ahmad_Al-Jaber_Al-Sabah,,,,,1885,1950,
Ahmad_Hussain_Gilani,Mahboob-e-Zaat,,,,1899,1961,
Ahmad_bin_Ali_Al_Thani,Emir of the State of Qatar,,,,1920,1977,Qatar
Ahmad_bin_Said_al-Busaidi,Sayyid,,,,1710,1783,
Ahmed_Kemaleddin,Lieutenant generalof Inf.Ottoman Army,,,,1847,1905,
Ahmed_bin_Salman_bin_Abdulaziz_Al_Saud,,,,,1958,2002,
Ahmed_bin_Zayed_Al_Nahyan,,,,,1968,2010,
Akbar,,,,,1542,1605,
Akile_Hatun,,,,,1607,1630,
Al-Mustakfi_I_(Cairo),,,,,1285,1340,
Al-Mustansir_(Baghdad),,,,,1192,1242,
